7521-LID,ALUMINIUM CONTAINER LID ,$19.55,$19.75,400,,$4.94,100,
8595-CONT,ALUMINIUM CONTAINER LID OCTAGON,$115.00,$116.16,100,,$1.16,1,
6237,ALUMINIUM LARGE ROASTER RECTANGLE,$75.25,$76.01,50,,$1.52,1,
,,,,,,,,
C002,2OZ CUP (57ML) - SUGARCANE WHITE,$65.90,$66.57,2000,,$1.66,50,
UC002,2OZ CUP (57ML) - SUGARCANE NATURAL,$70.65,$71.36,2000,,$1.78,50,
UC001/2SL,SUGARCANE LID/FITS CO001/2,$48.45,$48.94,2000,,$1.22,50,
,,,,,,,,
B-SC-60-W-PF,SAUCE CUP FIBRE 60ML WHITE,$51.50,$52.02,1000,,$6.50,125,
B-SCL-60-PLA,SAUCE LID PLA 60ML,$56.50,$57.07,1000,,$2.85,50,
,,,,,,,,
B-HLP-N-PF,"CLAMSHELL PIZZA SLICE 9""""",$93.55,$94.49,250,,$18.90,50,
,,,,,,,,
LBW3,SMALL LUNCH BOX WINDOW ,$46.10,$46.57,200,,$11.64,50,
LBW4,MEDIUM LUNCH BOX WINDOW ,$55.15,$55.71,200,,$13.93,50,
LBW5,LARGE LUNCH BOX WINDOW ,$81.10,$81.92,200,,$20.48,50,
,,,,,,,,
L707S0010,EXTRA SMALL LUNCH BOX DETPAK,$34.25,$34.60,200,,$8.65,50,
L390S0010,EXTRA MEDIUM LUNCH BOX DETPAK,$63.00,$63.64,200,,$15.91,50,
L469S0010,EXTRA LARGE  LUNCH BOX DETPAK,$89.85,$90.76,200,,$22.69,50,
,,,,,,,,
WCS190,WOODEN COFFEE STICK,$95.00,$95.96,10000,,$0.96,100,
,,,,,,,,
PCB2,BURGER BOX,$25.45,$25.71,250,,$12.85,125,
PCB2H,BURGER BOX HIGH,$27.45,$27.73,250,,$13.86,125,
PCB4,HOT DOG BOX,$24.95,$25.20,200,,$12.60,100,
PCB6,REGULAR SNACK BOX,$25.45,$25.71,200,,$12.85,100,
PCB8,LARGRE SNACK BOX,$25.45,$25.71,200,,$12.85,100,
PCB8,LARGE SNACK BOX,$30.55,$30.86,250,,$15.43,125,
PCB10,DINNER BOX,$27.80,$28.08,150,,$14.04,75,
PCB11,FAMILY BOX ,$32.25,$32.58,100,,$16.29,50,
,,,,,,,,
PCC2,CHIP CUP,$37.25,$37.63,500,,$3.76,50,
,,,,,,,,
T3,TRAY MEDIUM WHITE NO2,$30.75,$31.06,500,,$31.06,500,
,,,,,,,,
BT2,# 2 SMALL TRAY KRAFT,$32.55,$32.88,900,,$5.48,150,
,,,,,,,,
PCT1,TRAY SMALL PLAIN/BROWN,$28.85,$29.14,500,,$7.29,125,
PCT2,TRAY SQUARE PLAIN/BROWN,$21.00,$21.21,250,,$10.61,125,
PCT3,TRAY MEDIUM PLAIN/BROWN,$20.00,$20.20,250,,$10.10,125,
PCT4,TRAY LARGE PLAIN/BROWN,$25.00,$25.25,250,,$12.63,125,
PCT5,TRAY X LARGE PLAIN/BROWN,$15.00,$15.15,100,,$15.15,100,
PCT6,TRAY HOT DOG PLAIN/BROWN,$31.65,$31.97,600,,$5.33,100,
,,,,,,,,
WCT6,WHITE CORRUGATED TRAY HOT DOG,$38.25,$38.64,600,,$6.44,100,
,,,,,,,,
KB2,KRAFT LINED PAPER BURGER BOX,$49.00,$49.49,500,,$4.95,50,
,,,,,,,,
CON30,30ML SAUCE CONTAINER FLIP LID,$48.25,$48.74,2000,,$2.44,100,
CON60,60ML SAUCE CONTAINER FLIP LID,$82.50,$83.33,2000,,$4.17,100,
,,,,,,,,
BCHOPR20,BAMMBO ROUND CHOPSTICKS,$47.25,$47.73,3000,,$1.59,100,
BCHOPR22,BAMMBO ROUND CHOPSTICKS,$55.75,$56.31,3000,,$1.88,100,
,,,,,,,,
BS90,BAMBOO BOAT OAR SKEWER 90MM,$34.85,$35.20,5000,,$0.70,100,
BS150,BAMBOO BOAT OAR SKEWER 150MM,$51.25,$51.77,5000,,$1.04,100,
,,,,,,,,
WS110,WOODEN TEASPOON 110 CM,$84.35,$85.20,5000,,$1.70,100,
,,,,,,,,
WK165E,ECONOMY WOODEN KNIFE,$22.50,$22.73,2000,,$1.14,100,
WF160E,ECONOMY WOODEN FORK,$25.50,$25.76,2000,,$1.29,100,
WS160E,ECONOMY WOODEN SPOON,$26.50,$26.77,2000,,$1.34,100,
,,,,,,,,
W-FKNE,"ECON 6"" FORK/KNIFE/NAPKIN CUTL",$28.55,$28.84,400,,$28.84,400,
,,,,,,,,
PSC,COCKTAIL STRAW ,$22.75,$22.98,2500,,$2.30,250,
PSR,REGULAR STRAW ,$33.75,$34.09,2500,,$3.41,250,
PSJ,JUMBO STRAW ,$54.25,$54.80,2500,,$5.48,250,
,,,,,,,,
JP-PBS-6X197-ART,6MM REGULAR STRAW ART SERIES,$31.50,$31.82,2500,,$3.18,250,
JP-PBS-10X197-ART,10MM REGULAR STRAW ART SERIES,$53.00,$53.54,2500,,$2.14,100,
,,,,,,,,
PAP5PJ22WHT,STRAW JUMBO 5PLY WHITE,$66.25,$66.92,2200,,$6.69,220,
,,,,,,,,
PRINTED PAPER ,PRINTED PAPER 400 X 660,$44.50,$44.50,,,,,
CUT ,330 X 400,$46.50,$46.50,,,,,
PLATES ,PRINTING PLATES ,$240.00,$240.00,,,,,
,,,,,,,,
PRINTED ,6OZ PRINTED CUP PLA SW TWO COLOURS,$76.65,$77.42,1000,,$3.87,50,
